"period","N","V"
"1650-1749",88,19
"1650-1749",89,19
"1650-1749",90,19
"1650-1749",91,19
"1650-1749",92,19
"1650-1749",93,19
"1650-1749",94,19
"1650-1749",95,19
"1650-1749",96,19
"1650-1749",97,20
"1650-1749",98,20
"1650-1749",99,20
"1650-1749",100,20
"1650-1749",101,20
"1650-1749",102,21
"1650-1749",103,21
"1650-1749",104,22
"1650-1749",105,23
"1650-1749",106,23
"1650-1749",107,24
"1650-1749",108,24
"1650-1749",109,25
"1650-1749",110,25
"1650-1749",111,25
"1650-1749",112,25
"1650-1749",113,26
"1650-1749",114,26
"1650-1749",115,27
"1650-1749",116,28
"1650-1749",117,28
"1650-1749",118,28
"1650-1749",119,28
"1650-1749",120,28
"1650-1749",121,29
"1650-1749",122,29
"1650-1749",123,30
"1650-1749",124,30
"1650-1749",125,31
"1650-1749",126,31
"1650-1749",127,31
"1650-1749",128,31
"1650-1749",129,31
"1650-1749",130,31
"1650-1749",131,31
"1650-1749",132,31
"1650-1749",133,32
"1650-1749",134,32
"1650-1749",135,32
"1650-1749",136,32
"1650-1749",137,32
"1650-1749",138,32
"1650-1749",139,32
"1650-1749",140,32
"1650-1749",141,32
"1650-1749",142,32
"1650-1749",143,32
"1650-1749",144,32
"1650-1749",145,32
"1650-1749",146,33
"1650-1749",147,33
"1650-1749",148,33
"1650-1749",149,33
"1650-1749",150,33
"1650-1749",151,33
"1650-1749",152,33
"1650-1749",153,33
"1650-1749",154,34
"1650-1749",155,34
"1750-1849",1,1
"1750-1849",2,2
"1750-1849",3,3
"1750-1849",4,4
"1750-1849",5,5
"1750-1849",6,6
"1750-1849",7,6
"1750-1849",8,6
"1750-1849",9,7
"1750-1849",10,8
"1750-1849",11,9
"1750-1849",12,9
"1750-1849",13,9
"1750-1849",14,9
"1750-1849",15,9
"1750-1849",16,9
"1750-1849",17,9
"1750-1849",18,9
"1750-1849",19,9
"1750-1849",20,10
"1750-1849",21,10
"1750-1849",22,10
"1750-1849",23,11
"1750-1849",24,12
"1750-1849",25,12
"1750-1849",26,12
"1750-1849",27,12
"1750-1849",28,12
"1750-1849",29,12
"1750-1849",30,13
"1750-1849",31,13
"1750-1849",32,14
"1750-1849",33,14
"1750-1849",34,14
"1750-1849",35,14
"1750-1849",36,14
"1750-1849",37,14
"1750-1849",38,14
"1750-1849",39,14
"1750-1849",40,15
"1750-1849",41,15
"1750-1849",42,16
"1750-1849",43,16
"1750-1849",44,16
"1750-1849",45,16
"1750-1849",46,16
"1750-1849",47,17
"1750-1849",48,17
"1750-1849",49,18
"1750-1849",50,19
"1750-1849",51,19
"1750-1849",52,19
"1750-1849",53,20
"1750-1849",54,20
"1750-1849",55,21
"1750-1849",56,22
"1750-1849",57,22
"1750-1849",58,23
"1750-1849",59,23
"1750-1849",60,24
"1750-1849",61,24
"1750-1849",62,24
"1750-1849",63,24
"1750-1849",64,25
"1750-1849",65,26
"1750-1849",66,26
"1750-1849",67,27
"1750-1849",68,28
"1750-1849",69,29
"1750-1849",70,30
"1750-1849",71,31
"1750-1849",72,31
"1750-1849",73,31
"1750-1849",74,31
"1750-1849",75,31
"1750-1849",76,31
"1750-1849",77,31
"1750-1849",78,31
"1750-1849",79,31
"1750-1849",80,31
"1750-1849",81,31
"1750-1849",82,31
"1750-1849",83,31
"1750-1849",84,32
"1750-1849",85,32
"1750-1849",86,33
"1750-1849",87,33
"1750-1849",88,33
"1750-1849",89,33
"1750-1849",90,33
"1750-1849",91,33
"1750-1849",92,33
"1750-1849",93,33
"1750-1849",94,33
"1750-1849",95,34
"1750-1849",96,35
"1750-1849",97,35
"1750-1849",98,35
"1750-1849",99,35
"1750-1849",100,35
"1750-1849",101,36
"1750-1849",102,36
"1750-1849",103,36
"1750-1849",104,36
"1750-1849",105,36
"1750-1849",106,36
"1750-1849",107,36
"1750-1849",108,36
"1750-1849",109,36
"1750-1849",110,36
"1750-1849",111,36
"1750-1849",112,36
"1750-1849",113,36
"1750-1849",114,37
"1750-1849",115,37
"1750-1849",116,37
"1750-1849",117,38
"1750-1849",118,38
"1750-1849",119,38
"1750-1849",120,38
"1750-1849",121,38
"1750-1849",122,38
"1750-1849",123,38
"1750-1849",124,39
"1750-1849",125,40
"1750-1849",126,40
"1750-1849",127,40
"1750-1849",128,40
"1750-1849",129,40
"1750-1849",130,40
"1750-1849",131,40
"1750-1849",132,41
"1750-1849",133,41
"1750-1849",134,41
"1750-1849",135,41
"1750-1849",136,41
"1750-1849",137,41
"1750-1849",138,41
"1850-1914",1,1
"1850-1914",2,1
"1850-1914",3,2
"1850-1914",4,3
"1850-1914",5,4
"1850-1914",6,5
"1850-1914",7,6
"1850-1914",8,6
"1850-1914",9,7
"1850-1914",10,8
"1850-1914",11,9
"1850-1914",12,9
"1850-1914",13,9
"1850-1914",14,10
"1850-1914",15,10
"1850-1914",16,11
"1850-1914",17,11
"1850-1914",18,11
"1850-1914",19,12
"1850-1914",20,13
"1850-1914",21,14
"1850-1914",22,15
"1850-1914",23,16
"1850-1914",24,16
"1850-1914",25,17
"1850-1914",26,18
"1850-1914",27,18
"1850-1914",28,19
"1850-1914",29,20
"1850-1914",30,20
"1850-1914",31,20
"1850-1914",32,21
"1850-1914",33,21
"1850-1914",34,21
"1850-1914",35,22
"1850-1914",36,23
"1850-1914",37,23
"1850-1914",38,23
"1850-1914",39,24
"1850-1914",40,25
"1850-1914",41,26
"1850-1914",42,27
"1850-1914",43,27
"1850-1914",44,27
"1850-1914",45,27
"1850-1914",46,27
"1850-1914",47,27
"1850-1914",48,27
"1850-1914",49,27
"1850-1914",50,27
"1850-1914",51,28
"1850-1914",52,28
"1850-1914",53,28
"1850-1914",54,28
"1850-1914",55,28
"1850-1914",56,28
"1850-1914",57,28
"1850-1914",58,28
