"N","V"
799,189
800,189
801,189
802,189
803,190
804,190
805,190
806,190
807,190
808,190
809,190
810,190
811,190
812,190
813,190
814,190
815,190
816,190
817,190
818,190
819,190
820,190
821,190
822,190
823,190
824,190
825,190
826,190
827,190
828,191
829,191
830,191
831,191
832,191
833,192
834,192
835,193
836,193
837,193
838,193
839,193
840,193
841,193
842,193
843,193
844,193
845,193
846,193
847,193
848,193
849,193
850,193
851,193
852,193
853,193
854,193
855,193
856,194
857,195
858,195
859,195
860,195
861,195
862,195
863,195
864,195
865,195
866,195
867,195
868,196
869,196
870,196
871,196
872,196
873,196
874,196
875,196
876,196
877,196
878,196
879,196
880,196
881,196
882,196
883,196
884,196
885,196
886,196
887,196
888,196
889,197
890,197
891,197
892,198
893,198
894,198
895,198
896,198
897,198
898,198
899,198
900,199
901,200
902,201
903,201
904,201
905,202
906,203
907,204
908,204
909,204
910,204
911,205
912,205
913,206
914,206
915,206
916,206
917,206
918,206
919,206
920,206
921,206
922,207
923,207
924,207
925,208
926,208
927,208
928,209
929,210
930,210
931,210
932,211
933,211
934,212
935,212
936,213
937,213
938,214
939,214
940,214
941,214
942,214
943,215
944,215
945,215
946,215
947,215
948,216
949,217
950,217
951,217
952,217
953,218
954,218
955,218
956,218
957,219
958,220
959,220
960,221
961,221
962,221
963,222
964,222
965,222
966,223
967,224
968,225
969,225
970,225
971,225
972,225
973,225
974,225
975,226
976,227
977,227
978,228
979,228
980,229
981,229
982,230
983,230
984,230
985,230
986,230
987,230
988,230
989,231
990,232
991,232
992,232
993,233
994,233
995,233
996,233
997,234
998,234
999,234
1000,234
1001,234
1002,234
1003,235
1004,235
1005,236
1006,237
1007,237
1008,238
1009,239
1010,240
1011,240
1012,240
1013,240
1014,240
1015,241
1016,241
1017,242
1018,242
1019,242
1020,243
1021,243
1022,244
1023,245
1024,245
1025,245
1026,245
1027,246
1028,246
1029,246
1030,247
1031,248
1032,248
1033,248
1034,248
1035,248
1036,248
1037,248
1038,248
1039,248
1040,249
1041,249
1042,249
1043,249
1044,250
1045,250
1046,250
1047,250
1048,250
1049,250
1050,250
1051,250
1052,250
1053,250
1054,251
1055,251
1056,251
1057,252
1058,252
1059,252
1060,252
1061,252
1062,252
1063,252
1064,253
1065,253
1066,254
1067,254
1068,254
1069,254
1070,254
1071,255
1072,255
1073,255
1074,256
1075,256
1076,256
1077,256
1078,256
1079,256
1080,257
1081,257
1082,257
1083,257
1084,258
1085,259
1086,259
1087,260
1088,260
1089,261
1090,262
1091,263
1092,264
1093,264
1094,264
1095,264
1096,265
1097,265
1098,265
1099,265
1100,265
1101,265
1102,265
1103,265
1104,266
1105,266
1106,266
1107,266
1108,266
1109,266
1110,267
1111,267
1112,267
1113,267
1114,267
1115,267
1116,267
1117,267
1118,267
1119,267
1120,267
1121,267
1122,268
1123,269
1124,269
1125,269
1126,269
1127,269
1128,269
1129,269
1130,269
1131,269
1132,269
1133,270
1134,270
1135,270
1136,270
1137,270
1138,270
1139,270
1140,270
1141,271
1142,271
1143,272
1144,272
1145,273
1146,274
1147,275
1148,276
1149,276
1150,276
1151,276
1152,276
1153,276
1154,276
1155,276
1156,276
1157,276
1158,276
1159,276
1160,276
1161,276
1162,276
1163,277
1164,277
1165,278
1166,278
1167,278
1168,278
1169,279
1170,279
1171,280
1172,280
1173,280
1174,280
1175,280
1176,280
1177,280
1178,280
1179,280
1180,280
1181,280
1182,280
1183,281
1184,281
1185,281
1186,282
1187,282
1188,282
1189,283
1190,283
1191,283
1192,283
1193,283
1194,283
1195,283
1196,284
1197,284
1198,284
1199,285
1200,285
1201,286
1202,286
1203,287
1204,287
1205,287
1206,287
1207,288
1208,288
1209,289
1210,289
1211,289
1212,290
1213,290
1214,290
1215,290
1216,290
1217,291
1218,291
1219,291
1220,291
1221,291
1222,291
1223,291
1224,291
1225,291
1226,291
1227,291
1228,291
1229,291
1230,291
1231,291
1232,291
1233,291
1234,291
1235,291
1236,291
1237,291
1238,291
1239,291
1240,292
1241,292
1242,293
1243,293
1244,293
1245,293
1246,293
1247,293
1248,293
1249,293
1250,293
1251,294
1252,294
1253,295
1254,295
1255,295
1256,295
1257,295
1258,295
1259,295
1260,295
1261,295
1262,295
1263,295
1264,295
1265,295
1266,295
1267,295
1268,296
1269,297
1270,298
1271,298
1272,298
1273,298
1274,298
1275,298
1276,298
1277,298
1278,298
1279,298
1280,298
1281,299
1282,300
1283,300
1284,300
1285,300
1286,301
1287,301
1288,301
1289,301
1290,301
1291,301
1292,301
1293,301
1294,301
1295,302
1296,302
1297,303
1298,303
1299,303
1300,303
1301,303
1302,303
1303,304
1304,304
1305,304
1306,304
1307,304
1308,304
1309,304
1310,304
1311,305
1312,305
1313,305
1314,305
1315,306
1316,307
1317,307
1318,307
1319,307
1320,307
1321,307
1322,307
1323,307
1324,307
1325,308
1326,308
1327,308
1328,308
1329,308
1330,308
1331,308
1332,308
1333,308
1334,308
1335,308
1336,308
1337,308
1338,308
1339,309
1340,309
1341,310
1342,310
1343,310
1344,311
1345,311
1346,312
1347,312
1348,312
1349,313
1350,313
1351,314
1352,314
1353,314
1354,314
1355,314
1356,314
1357,314
1358,314
1359,314
1360,314
1361,314
1362,314
1363,314
1364,314
1365,315
1366,315
1367,315
1368,315
1369,315
1370,315
1371,316
1372,316
1373,316
1374,317
1375,317
1376,318
1377,318
1378,318
1379,318
1380,318
1381,318
1382,318
1383,318
1384,318
1385,318
1386,319
1387,319
1388,319
1389,319
1390,319
1391,319
1392,319
1393,319
1394,319
1395,319
1396,319
1397,319
1398,319
1399,319
1400,319
1401,319
1402,319
1403,319
1404,319
1405,319
1406,319
1407,319
1408,319
1409,320
1410,320
1411,320
1412,320
1413,320
1414,320
1415,320
1416,320
1417,320
1418,320
1419,320
1420,320
1421,320
1422,320
1423,320
1424,320
1425,320
1426,320
1427,321
1428,321
1429,321
1430,321
1431,321
1432,321
1433,321
1434,321
1435,321
1436,322
1437,322
1438,322
1439,322
1440,322
1441,323
1442,323
1443,323
1444,323
1445,323
1446,323
1447,323
1448,323
1449,323
1450,323
1451,324
1452,325
1453,325
1454,325
1455,326
1456,327
1457,327
1458,327
1459,327
1460,327
1461,327
1462,327
1463,327
1464,327
1465,327
1466,327
1467,327
1468,328
1469,329
1470,329
1471,329
1472,329
1473,329
1474,330
1475,330
1476,330
1477,330
1478,330
1479,331
1480,332
1481,332
1482,332
1483,332
1484,332
1485,332
1486,333
1487,333
1488,333
1489,333
1490,333
1491,334
1492,335
1493,335
1494,335
1495,335
1496,335
1497,336
1498,336
1499,336
1500,336
1501,336
1502,336
1503,336
1504,337
1505,337
1506,337
1507,338
1508,338
1509,338
1510,338
1511,338
1512,339
1513,339
1514,339
1515,339
1516,339
1517,339
1518,339
1519,339
1520,339
1521,339
1522,339
1523,339
1524,339
1525,339
1526,339
1527,339
1528,339
1529,339
1530,339
1531,339
1532,339
1533,339
1534,339
1535,339
1536,339
1537,339
1538,339
1539,339
1540,339
1541,339
1542,339
1543,339
1544,339
1545,340
1546,340
1547,340
1548,341
1549,341
1550,341
1551,341
1552,342
1553,342
1554,343
1555,344
1556,344
1557,344
1558,344
1559,344
1560,344
1561,344
1562,345
1563,345
1564,345
1565,345
1566,345
1567,345
1568,345
1569,345
1570,345
1571,345
1572,345
1573,345
1574,345
1575,345
1576,346
1577,346
1578,346
1579,346
1580,347
1581,347
1582,347
1583,347
1584,347
1585,347
1586,347
1587,347
1588,347
1589,347
1590,347
1591,347
1592,347
1593,347
1594,347
1595,347
1596,347
1597,348
1598,348
1599,348
1600,348
1601,349
1602,349
1603,350
1604,350
1605,350
1606,350
1607,350
1608,350
1609,350
1610,350
1611,350
1612,350
1613,350
1614,350
1615,351
1616,351
1617,351
1618,351
1619,351
1620,351
1621,351
1622,351
1623,351
1624,351
1625,351
1626,352
1627,352
1628,352
1629,352
1630,352
1631,352
1632,352
1633,352
1634,352
1635,352
1636,352
1637,352
1638,352
1639,352
1640,352
1641,352
1642,352
1643,352
1644,352
1645,352
1646,352
1647,352
1648,352
1649,352
1650,352
1651,352
1652,352
1653,353
1654,353
1655,353
1656,354
1657,354
1658,354
1659,354
1660,354
1661,354
1662,354
1663,354
1664,354
1665,354
1666,354
1667,354
1668,354
1669,354
1670,354
1671,354
1672,354
1673,354
1674,354
1675,354
1676,354
1677,355
1678,355
1679,355
1680,355
1681,355
1682,355
1683,355
1684,355
1685,355
1686,355
1687,355
1688,355
1689,355
1690,355
1691,355
1692,355
1693,355
1694,355
1695,355
1696,355
1697,355
1698,355
1699,355
1700,355
1701,355
1702,355
1703,355
1704,355
1705,355
1706,355
1707,356
1708,357
1709,357
1710,357
1711,357
1712,357
1713,357
1714,357
1715,357
1716,357
1717,357
1718,357
1719,357
1720,358
1721,359
1722,359
1723,359
1724,359
1725,359
1726,359
1727,359
1728,360
1729,360
1730,360
1731,360
1732,360
1733,360
1734,360
1735,360
1736,360
1737,360
1738,360
1739,361
1740,361
1741,361
1742,361
1743,361
1744,361
1745,361
1746,361
1747,361
1748,361
1749,361
1750,361
1751,362
1752,362
1753,362
1754,362
1755,362
1756,362
1757,362
1758,362
1759,362
1760,362
1761,362
1762,362
1763,362
1764,362
1765,362
1766,362
1767,362
1768,362
1769,362
1770,362
1771,362
1772,362
1773,362
1774,362
1775,362
1776,362
1777,362
1778,362
1779,362
1780,363
1781,363
1782,363
1783,363
1784,364
1785,364
1786,365
1787,366
1788,367
1789,367
1790,367
1791,367
1792,367
1793,367
1794,367
1795,367
1796,367
1797,368
1798,368
1799,369
1800,369
1801,369
1802,369
1803,369
1804,369
1805,369
1806,369
1807,369
1808,369
1809,369
1810,369
1811,369
1812,369
1813,369
1814,369
1815,369
1816,369
1817,369
1818,369
1819,369
1820,369
1821,369
1822,369
1823,369
1824,369
1825,369
1826,369
1827,369
1828,369
1829,369
1830,369
1831,369
1832,369
1833,369
1834,369
1835,369
1836,369
1837,369
1838,369
1839,369
1840,369
1841,369
1842,369
1843,369
1844,369
1845,369
1846,369
1847,369
1848,370
1849,370
1850,371
1851,371
1852,371
1853,371
1854,371
1855,371
1856,371
1857,371
1858,371
1859,371
1860,371
1861,371
1862,371
1863,371
1864,371
1865,371
1866,371
1867,371
1868,371
1869,371
1870,371
1871,371
1872,371
1873,371
1874,371
1875,371
1876,371
1877,371
1878,371
1879,371
1880,371
1881,371
1882,371
1883,371
1884,372
1885,373
1886,373
1887,373
1888,373
1889,373
1890,373
1891,373
1892,373
1893,373
1894,373
1895,373
1896,373
1897,374
1898,374
1899,375
1900,375
1901,376
1902,376
1903,377
1904,377
1905,377
1906,377
1907,377
1908,377
1909,377
1910,377
1911,377
1912,377
1913,378
1914,378
1915,378
1916,378
1917,378
1918,378
1919,378
1920,378
1921,378
1922,378
1923,378
1924,378
1925,378
1926,379
1927,379
1928,380
1929,381
1930,381
1931,381
1932,381
1933,381
1934,381
1935,381
1936,381
1937,381
1938,381
1939,381
1940,381
1941,381
1942,381
1943,381
1944,381
1945,381
1946,381
1947,381
1948,381
1949,381
1950,381
1951,381
1952,381
1953,381
1954,381
1955,381
1956,381
1957,381
1958,381
1959,381
1960,381
1961,381
1962,381
1963,381
1964,381
1965,381
1966,381
1967,381
1968,382
1969,383
1970,383
1971,383
1972,384
1973,384
1974,384
1975,385
1976,385
1977,386
1978,387
1979,387
1980,388
1981,388
1982,389
1983,389
1984,389
1985,389
1986,389
1987,390
1988,390
1989,390
1990,391
1991,391
1992,391
