"N","V"
1,0.986591867764787
2,1.94804366028757
3,2.88664747540491
4,3.80442837695068
5,4.7031771229436
6,5.58447883237369
7,6.4497380956476
8,7.30020097102749
9,8.13697425444258
10,8.96104236190899
11,9.77328212161439
12,10.5744757357867
13,11.3653221400995
14,12.146446960027
15,12.9184112387397
16,13.6817190893902
17,14.4368244056044
18,15.184136747321
19,15.9240265045277
20,16.6568294286598
21,17.3828506102416
22,18.102367971549
23,18.8156353345014
24,19.5228851164808
25,20.2243307002052
26,20.9201685180301
27,21.6105798860203
28,22.2957326187238
29,22.9757824517247
30,23.6508742956784
31,24.3211433425737
32,24.9867160423881
33,25.6477109660325
34,26.3042395685106
35,26.9564068644771
36,27.6043120268714
37,28.2480489179706
38,28.8877065610479
39,29.5233695598077
40,30.1551184718768
41,30.7830301418567
42,31.4071779987602
43,32.0276323220578
44,32.6444604800432
45,33.2577271437659
46,33.867494479383
47,34.4738223214304
48,35.0767683292119
49,35.6763881282307
50,36.2727354383595
51,36.8658621902364
52,37.4558186311943
53,38.0426534218764
54,38.6264137245496
55,39.2071452840088
56,39.7848925018575
57,40.3596985048589
58,40.9316052079693
59,41.5006533725941
60,42.0668826605444
61,42.6303316841178
62,43.1910380526771
63,43.7490384160598
64,44.3043685051128
65,44.8570631696157
66,45.4071564138248
67,45.9546814298463
68,46.499670629025
69,47.0421556715129
70,47.5821674941689
71,48.1197363369191
72,48.6548917677024
73,49.1876627061034
74,49.7180774457752
75,50.2461636757355
76,50.7719485006187
77,51.2954584599527
78,51.8167195465298
79,52.3357572239268
80,52.8525964432325
81,53.3672616590292
82,53.8797768446769
83,54.3901655069374
84,54.8984506999815
85,55.4046550388116
86,55.9088007121327
87,56.4109094947034
88,56.911002759193
89,57.4091014875717
90,57.9052262820587
91,58.3993973756485
92,58.8916346422388
93,59.3819576063779
94,59.8703854526511
95,60.3569370347225
96,60.8416308840482
97,61.3244852182777
98,61.805517949355
99,62.2847466913362
100,62.7621887679327
101,63.2378612197953
102,63.7117808115479
103,64.1839640385837
104,64.6544271336321
105,65.1231860731073
106,65.590256583247
107,66.0556541460502
108,66.5193940050224
109,66.9814911707352
110,67.4419604262091
111,67.9008163321254
112,68.3580732318748
113,68.813745256448
114,69.2678463291758
115,69.7203901703238
116,70.1713903015469
117,70.6208600502096
118,71.0688125535775
119,71.5152607628832
120,71.9602174472732
121,72.403695197639
122,72.8457064303371
123,73.2862633908019
124,73.725378157055
125,74.1630626431158
126,74.5993286023149
127,75.0341876305162
128,75.4676511692487
129,75.8997305087524
130,76.3304367909417
131,76.7597810122874
132,77.1877740266218
133,77.6144265478688
134,78.0397491527022
135,78.4637522831326
136,78.8864462490283
137,79.3078412305701
138,79.7279472806431
139,80.1467743271673
140,80.5643321753695
141,80.9806305099975
142,81.3956788974789
143,81.8094867880275
144,82.2220635176961
145,82.6334183103804
146,83.0435602797737
147,83.4524984312746
148,83.8602416638491
149,84.2667987718481
150,84.6721784467826
151,85.0763892790567
152,85.4794397596608
153,85.8813382818249
154,86.2820931426349
155,86.6817125446115
156,87.0802045972532
157,87.4775773185449
158,87.8738386364331
159,88.2689963902674
160,88.6630583322112
161,89.0560321286212
162,89.4479253613968
163,89.8387455292998
164,90.2285000492478
165,90.6171962575767
166,91.0048414112801
167,91.3914426892196
168,91.7770071933115
169,92.1615419496889
170,92.5450539098381
171,92.9275499517141
172,93.3090368808311
173,93.6895214313325
174,94.0690102670389
175,94.4475099824742
176,94.8250271038732
177,95.201568090167
178,95.5771393339513
179,95.9517471624337
180,96.3253978383642
181,96.6980975609471
182,97.0698524667351
183,97.440668630507
184,97.8105520661284
185,98.1795087273957
186,98.5475445088659
187,98.9146652466686
188,99.2808767193048
189,99.6461846484307
190,100.010594699626
191,100.374112483149
192,100.73674355468
193,101.098493416046
194,101.459367515938
195,101.819371250614
196,102.178509964585
197,102.536788951299
198,102.894213453801
199,103.250788665388
200,103.606519730255
201,103.961411744125
202,104.31546975487
203,104.668698763119
204,105.021103722862
205,105.372689542038
206,105.723461083114
207,106.073423163656
208,106.42258055689
209,106.770937992254
210,107.118500155937
211,107.465271691419
212,107.811257199987
213,108.15646124126
214,108.500888333691
215,108.844542955069
216,109.187429543011
217,109.529552495443
218,109.870916171082
219,110.211524889901
220,110.551382933587
221,110.890494546004
222,111.228863933633
223,111.566495266014
224,111.90339267618
225,112.239560261085
226,112.575002082021
227,112.909722165037
228,113.243724501341
229,113.577013047705
230,113.909591726859
231,114.241464427882
232,114.572635006586
233,114.903107285892
234,115.232885056204
235,115.561972075775
236,115.890372071073
237,116.218088737131
238,116.545125737902
239,116.871486706607
240,117.197175246072
241,117.522194929068
242,117.846549298641
243,118.170241868438
244,118.493276123033
245,118.815655518241
246,119.137383481433
247,119.458463411844
248,119.77889868088
249,120.098692632416
250,120.417848583094
251,120.736369822613
252,121.054259614021
253,121.371521193995
254,121.688157773127
255,122.004172536194
256,122.319568642437
257,122.634349225826
258,122.948517395328
259,123.26207623517
260,123.575028805094
261,123.887378140617
262,124.19912725328
263,124.510279130895
264,124.820836737797
265,125.130803015078
266,125.440180880833
267,125.748973230389
268,126.057182936545
269,126.364812849797
270,126.671865798568
271,126.97834458943
272,127.284252007326
273,127.589590815787
274,127.894363757152
275,128.198573552776
276,128.502222903242
277,128.805314488571
278,129.107850968422
279,129.409834982302
280,129.711269149757
281,130.012156070577
282,130.312498324988
283,130.612298473845
284,130.911559058821
285,131.210282602598
286,131.508471609051
287,131.806128563432
288,132.103255932551
289,132.399856164954
290,132.695931691104
291,132.99148492355
292,133.286518257106
293,133.581034069015
294,133.875034719125
