"subset","tokens","types","hapaxes","pp","ttr","S.exact","S.approx"
"1482-1549",57,33,22,0.385964912280702,0.578947368421053,96.4640628640163,109.021299018089
"1550-1649",58,26,15,0.258620689655172,0.448275862068966,65.3154472262405,61.2469684412487
"1650-1749",42,27,19,0.452380952380952,0.642857142857143,NA,132.120203474182
"1750-1849",57,24,14,0.245614035087719,0.421052631578947,90.2993389048414,NA
"1850-1914",56,30,20,0.357142857142857,0.535714285714286,110.146845773478,112.242984453906
