"subset","tokens","types","hapaxes","pp","ttr","S.exact","S.approx"
"1482-1549",230,76,48,0.208695652173913,0.330434782608696,1294.10168328428,475.751450069124
"1550-1649",211,75,43,0.203791469194313,0.355450236966825,NA,173.801817801979
"1650-1749",255,83,43,0.168627450980392,0.325490196078431,182.741241072888,169.200490625223
"1750-1849",742,194,102,0.137466307277628,0.261455525606469,458.498263583597,416.123446446282
"1850-1914",554,147,80,0.144404332129964,0.265342960288809,362.422797512263,339.300508318966
