"date","subset","tokens","types","hapaxes","pp","ttr"
1482,"BuchDerNatur",15,5,2,0.133333333333333,0.333333333333333
1487,"GartDerGesundheit",52,27,20,0.384615384615385,0.519230769230769
1532,"ArtzneyBuchleinDerKreutter",17,12,9,0.529411764705882,0.705882352941177
1532,"ContrafaytKreuterbuch",43,20,15,0.348837209302326,0.465116279069767
1539,"NewKreuetterBuch",49,21,11,0.224489795918367,0.428571428571429
1543,"NewKreuetterbbuch",54,17,13,0.240740740740741,0.314814814814815
1557,"WieSichMeniglich",26,18,14,0.538461538461538,0.692307692307692
1563,"NewKreueterbuch",8,5,4,0.5,0.625
1588,"Paradeiszgaertlein",26,9,6,0.230769230769231,0.346153846153846
1603,"AlchymistischePractic",13,9,5,0.384615384615385,0.692307692307692
1609,"HortulusSanitatis",17,9,5,0.294117647058824,0.529411764705882
1609,"KraeuterbuchDesEdelen",36,11,6,0.166666666666667,0.305555555555556
1639,"PflantzGart",85,33,17,0.2,0.388235294117647
1652,"Wund-Artzney",28,13,6,0.214285714285714,0.464285714285714
1662,"Phythologia",12,4,2,0.166666666666667,0.333333333333333
1673,"ThesaurusSanitatis",20,15,12,0.6,0.75
1675,"SonderbaresKraeuterbuch",62,14,7,0.112903225806452,0.225806451612903
1687,"SchweizerischerBotanicus",19,7,2,0.105263157894737,0.368421052631579
1696,"TheatrumBotanicum",24,10,5,0.208333333333333,0.416666666666667
1719,"ViridariumReformatum",15,10,8,0.533333333333333,0.666666666666667
1722,"FloraSaturnizans",42,31,23,0.547619047619048,0.738095238095238
1735,"MysterivmSigillorvm",33,21,16,0.484848484848485,0.636363636363636
1750,"BlackwellischesKraeuterbuch",17,13,10,0.588235294117647,0.764705882352941
1764,"EinleitungZuDerKraeuterkenntnisz",181,21,10,0.0552486187845304,0.116022099447514
1774,"Unterricht",12,11,10,0.833333333333333,0.916666666666667
1792,"GrundrissKraeuterkunde",46,28,19,0.41304347826087,0.608695652173913
1793,"Apothekerlexikon",38,28,22,0.578947368421053,0.736842105263158
1809,"GetreueDarstellungUndBeschreibung",17,11,6,0.352941176470588,0.647058823529412
1821,"Flora-7",14,13,12,0.857142857142857,0.928571428571429
1821,"Flora-6",73,31,20,0.273972602739726,0.424657534246575
1828,"EigenschaftenAllerHeilpflanzen",48,27,19,0.395833333333333,0.5625
1840,"NochEinigeWorte",198,72,48,0.242424242424242,0.363636363636364
1843,"VorlesungenUeberKraeuterkunde",98,51,32,0.326530612244898,0.520408163265306
1860,"GrossesIllustriertesKraeuterbuch",57,31,22,0.385964912280702,0.543859649122807
1870,"DeutschePflanzennamen",319,75,41,0.128526645768025,0.235109717868339
1870,"FloraDerPreussischenRheinlande",50,24,15,0.3,0.48
1874,"GemeinnuetzigesKraeuterbuch",66,31,20,0.303030303030303,0.46969696969697
1887,"NatuerlichePflanzenfamilien",24,11,8,0.333333333333333,0.458333333333333
1914,"Kraeuterbuch",38,27,22,0.578947368421053,0.710526315789474
