"subset","tokens","types","hapaxes","pp","ttr","S.exact","S.approx"
"1482-1549",186,49,27,0.145161290322581,0.263440860215054,288.727884002699,145.924048527203
"1550-1649",115,44,20,0.173913043478261,0.382608695652174,71.4269902819039,NA
"1650-1749",155,34,17,0.109677419354839,0.219354838709677,66.4559321855287,66.09883543033
"1750-1849",138,41,20,0.144927536231884,0.297101449275362,15321.4265196641,74.3489237297017
"1850-1914",58,28,17,0.293103448275862,0.482758620689655,NA,NA
