"lemma","frequency","rank"
"Ergießung",1,279
"Erkundigung",1,280
"Erläuterung",1,281
"Erleuchtung",1,282
"Ermüdung",1,283
"Ermangelung",1,284
"Ernährung",1,285
"Erregung",1,286
"Erschüttung",1,287
"Erweichung",1,288
"Füllung",1,289
"Fertigung",1,290
"Fristung",1,291
"Gährung",1,292
"Höhlung",1,293
"Haltung",1,294
"Hemmung",1,295
"Hervorbildung",1,296
"Hinlegung",1,297
"Irrung",1,298
"Kitzelung",1,299
"Konterfeiung",1,300
"Kristallisierung",1,301
"Läuterung",1,302
"Labung",1,303
"Lesung",1,304
"Linderung",1,305
"Losreißung",1,306
"Mannigfaltigung",1,307
"Martung",1,308
"Messung",1,309
"Mutmaßung",1,310
"Nachahmung",1,311
"Nachbildung",1,312
"Nachrichtung",1,313
"Pfropfung",1,314
"Purgierung",1,315
"Rechnung",1,316
"Rechtfertigung",1,317
"Reifung",1,318
"Reizung",1,319
"Ringerung",1,320
"Schärfung",1,321
"Schätzung",1,322
"Schöpfung",1,323
"Schürfung",1,324
"Schwierung",1,325
"Sonderung",1,326
"Spaltung",1,327
"Speisung",1,328
"Suchung",1,329
"Täuschung",1,330
"Tötung",1,331
"Temperierung",1,332
"Teuerung",1,333
"Trocknung",1,334
"Tuung",1,335
"Umbildung",1,336
"Umdeutschung",1,337
"Umgebung",1,338
"Umgestaltung",1,339
"Umgrenzung",1,340
"Umhüllung",1,341
"Umstürzung",1,342
"Unterlaufung",1,343
"Unternehmung",1,344
"Unterredung",1,345
"Unterstützung",1,346
"Verderbung",1,347
"Verdunkelung",1,348
"Vereinigung",1,349
"Verfälschung",1,350
"Verführung",1,351
"Verfeinerung",1,352
"Vergiftigung",1,353
"Verhütung",1,354
"Verhinderung",1,355
"Verleihung",1,356
"Verlierung",1,357
"Vermengung",1,358
"Vermutung",1,359
"Verrauchung",1,360
"Verrenkung",1,361
"Versetzung",1,362
"Verstümmelung",1,363
"Verstimmung",1,364
"Vertröstung",1,365
"Verunreinigung",1,366
"Vervielfältigung",1,367
"Verwahrlosung",1,368
"Verwahrung",1,369
"Verwechselung",1,370
"Verwendung",1,371
"Verwesung",1,372
"Verwickelung",1,373
"Verwund",1,374
"Verwundung",1,375
"Verzauberung",1,376
"Verzehrung",1,377
"Waschung",1,378
"Weisung",1,379
"Widerlegung",1,380
"Wiederholung",1,381
"Zerbrechung",1,382
"Zerknirschung",1,383
"Zerknitschung",1,384
"Zerreißung",1,385
"Zersetzung",1,386
"Zerstörung",1,387
"Zielung",1,388
"Zuckung",1,389
"Zugießung",1,390
"Zweiflung",1,391
