"period","m","Vm"
"1482-1549",1,22
"1482-1549",2,7
"1482-1549",3,2
"1482-1549",4,1
"1482-1549",11,1
"1550-1649",1,15
"1550-1649",2,5
"1550-1649",3,2
"1550-1649",4,1
"1550-1649",5,2
"1550-1649",13,1
"1650-1749",1,19
"1650-1749",2,4
"1650-1749",3,1
"1650-1749",4,3
"1750-1849",1,14
"1750-1849",2,4
"1750-1849",3,2
"1750-1849",4,1
"1750-1849",6,1
"1750-1849",7,1
"1750-1849",12,1
"1850-1914",1,20
"1850-1914",2,5
"1850-1914",3,2
"1850-1914",4,1
"1850-1914",7,1
"1850-1914",9,1
